id,original_language,title,genre_list,cast_list,crew_list,comp_list
135397,en,Jurassic World,Action Adventure Science Fiction Thriller ,OwenGrady ClaireDearing SimonMasrani ,Colin Trevorrow,UniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork Dentsu 
37724,en,Skyfall,Action Adventure Thriller ,JamesBond M Silva ,Sam Mendes,ColumbiaPictures 
558,en,Spider-Man 2,Action Adventure Fantasy ,PeterParker/Spider-Man MaryJaneWatson HarryOsborn ,Sam Raimi,ColumbiaPictures LauraZiskinProductions MarvelEnterprises 
68721,en,Iron Man 3,Action Adventure Science Fiction ,"TonyStark/IronMan Virginia""Pepper""Potts ColonelJames""Rhodey""Rhodes ",Shane Black,MarvelStudios 
12155,en,Alice in Wonderland,Family Fantasy Adventure ,AliceKingsleigh TheMadHatter TheWhiteQueen ,Tim Burton,"WaltDisneyPictures TeamTodd TimBurtonProductions RothFilms ZanuckCompany,The "
36668,en,X-Men: The Last Stand,Adventure Action Science Fiction Thriller ,Logan/Wolverine OroroMunroe/Storm EricLehnsherr/Magneto ,Brett Ratner,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment MajorStudioPartners BadHatHarryProductions thinkfilm MarvelEnterprises X3CanadaProductions X3USProductions XM3Service 
62211,en,Monsters University,Animation Family ,"Michael""Mike""Wazowski(voice) JamesP.""Sulley""Sullivan(voice) RandallBoggs(voice) ",Dan Scanlon,WaltDisneyPictures PixarAnimationStudios 
8373,en,Transformers: Revenge of the Fallen,Science Fiction Action Adventure ,SamWitwicky MikaelaBanes CaptainLennox ,Michael Bay,ParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes HasbroStudios RevolutionSunStudios 
91314,en,Transformers: Age of Extinction,Science Fiction Action Adventure ,CadeYeager Joshua HaroldAttinger ,Michael Bay,ParamountPictures AmblinEntertainment DiBonaventuraPictures PlatinumDunes ChinaMovieChannel HasbroStudios IanBryceProductions RevolutionSunStudios 
68728,en,Oz: The Great and Powerful,Fantasy Adventure Family ,Oz Theodora Evanora ,Sam Raimi,WaltDisneyPictures RothFilms 
102382,en,The Amazing Spider-Man 2,Action Adventure Fantasy ,PeterParker/Spider-Man GwenStacy MaxDillon/Electro ,Marc Webb,ColumbiaPictures MarvelEnterprises AviAradProductions MattTolmachProductions 
20526,en,TRON: Legacy,Adventure Action Science Fiction ,SamFlynn KevinFlynn/Clu Quorra ,Joseph Kosinski,WaltDisneyPictures LivePlanet PranaStudios SeanBaileyProductions RevolutionSunStudios KontseptFilmCompany 
49013,en,Cars 2,Animation Family Adventure Comedy ,LightningMcQueen(voice) Mater(voice) FinnMcMissile(voice) ,John Lasseter,WaltDisneyPictures PixarAnimationStudios 
44912,en,Green Lantern,Adventure Action Thriller Science Fiction ,HalJordan/GreenLantern CarolFerris HectorHammond ,Martin Campbell,DeLinePictures WarnerBros. DCEntertainment 
10193,en,Toy Story 3,Animation Family Comedy ,Woody(voice) BuzzLightyear(voice) Lotso(voice) ,Lee Unkrich,WaltDisneyPictures PixarAnimationStudios 
534,en,Terminator Salvation,Action Science Fiction Thriller ,JohnConnor MarcusWright KyleReese ,McG,ColumbiaPictures TheHalcyonCompany WonderlandSoundandVision WarnerBros. 
168259,en,Furious 7,Action ,DominicToretto BrianO'Conner Hobbs ,James Wan,"UniversalPictures OriginalFilm FujiTelevisionNetwork Dentsu OneRaceFilms ChinaFilmCo. QuébecProductionServicesTaxCredit MediaRightsCapital(MRC) AbuDhabiFilmCommission ColoradoOfficeofFilm,Television&Media "
72190,en,World War Z,Action Drama Horror Science Fiction Thriller ,GerryLane KarenLane RachelLane ,Marc Forster,ParamountPictures GKFilms SkydanceProductions HemisphereMediaCapital ApparatusProductions LatinaPictures 2DUX² 
127585,en,X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction ,Logan/Wolverine CharlesXavier/ProfessorX(Young) ErikLehnsherr/Magneto(Young) ,Bryan Singer,TwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment DownProductions RevolutionSunStudios 
54138,en,Star Trek Into Darkness,Action Adventure Science Fiction ,JamesT.Kirk Spock NyotaUhura ,J.J. Abrams,ParamountPictures SkydanceProductions BadRobot Kurtzman/Orci 
81005,en,Jack the Giant Slayer,Action Family Fantasy ,Jack PrincessIsabelle Elmont ,Bryan Singer,NewLineCinema OriginalFilm LegendaryPictures WarnerBros. BigKidPictures BadHatHarryProductions 
64682,en,The Great Gatsby,Drama Romance ,JayGatsby NickCarraway DaisyBuchanan ,Baz Luhrmann,VillageRoadshowPictures BazmarkFilms WarnerBros. A&ETelevisionNetworks RedWagonEntertainment SpectrumFilms 
9543,en,Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance ,PrinceDastan Tamina Nizam ,Mike Newell,WaltDisneyPictures JerryBruckheimerFilms 
68726,en,Pacific Rim,Action Science Fiction Adventure ,StackerPentecost RaleighBecket Dr.NewtonGeiszler ,Guillermo del Toro,LegendaryPictures WarnerBros. DisneyDoubleDareYou(DDY) IndochinaProductions 
38356,en,Transformers: Dark of the Moon,Action Science Fiction Adventure ,SamWitwicky BruceBrazos JerryWang ,Michael Bay,ParamountPictures DiBonaventuraPictures IndochinaProductions HasbroStudios 
217,en,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action ,IndianaJones IrinaSpalko MuttWilliams ,Steven Spielberg,Lucasfilm ParamountPictures 
105864,en,The Good Dinosaur,Adventure Animation Family ,Arlo(voice) Spot(voice) Poppa(voice) ,Peter Sohn,WaltDisneyPictures PixarAnimationStudios 
62177,en,Brave,Animation Adventure Comedy Family Action Fantasy ,Mérida(voice) TheWitch(voice) KingFergus(voice) ,Brenda Chapman,WaltDisneyPictures PixarAnimationStudios 
188927,en,Star Trek Beyond,Action Adventure Science Fiction ,JamesT.Kirk Spock Dr.Leonard'Bones'McCoy ,Justin Lin,ParamountPictures BadRobot PerfectStormEntertainment AlibabaPicturesGroup SkydanceMedia SneakyShark HuahuaMedia 
10681,en,WALL·E,Animation Family ,WALL·E/M-O(voice) EVE(voice) Captain(voice) ,Andrew Stanton,WaltDisneyPictures PixarAnimationStudios FortyFourStudios 
5174,en,Rush Hour 3,Action Comedy Crime Thriller ,Det.JamesCarter ChiefInsp.Lee Kenji ,Brett Ratner,NewLineCinema 
14161,en,2012,Action Adventure Science Fiction ,JacksonCurtis KateCurtis AdrianHelmsley ,Roland Emmerich,ColumbiaPictures CentropolisEntertainment TheMarkGordonCompany FarewellProductions 
17979,en,A Christmas Carol,Animation Drama ,"TinyTim,BobCratchit,Marley EbenezerScrooge,GhostofChristmasPast,GhostofChristmasPresent,GhostofChristmasYetToCome FuneraryUndertaker/Topper ",Robert Zemeckis,WaltDisney ImageMovers 
76757,en,Jupiter Ascending,Science Fiction Fantasy Action Adventure ,JupiterJones CaineWise StingerApini ,Lilly Wachowski,VillageRoadshowPictures DuneEntertainment AnarchosProductions WarnerBros. 
258489,en,The Legend of Tarzan,Action Adventure ,JohnClayton/Tarzan JanePorter CaptainLeonRom ,David Yates,VillageRoadshowPictures DarkHorseEntertainment JerryWeintraubProductions RatPac-DuneEntertainment BeaglePugFilms RicheProductions VillageRoadshowFilmsNorthAmerica 
411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy ,PeterPevensie SusanPevensie EdmundPevensie ,Andrew Adamson,WaltDisney WaldenMedia 
246655,en,X-Men: Apocalypse,Science Fiction ,ProfessorCharlesXavier ErikLehnsherr/Magneto RavenDarkholme/Mystique ,Bryan Singer,TwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment KinbergGenre 
155,en,The Dark Knight,Drama Action Crime Thriller ,BruceWayne Joker HarveyDent ,Christopher Nolan,DCComics LegendaryPictures WarnerBros. DCEntertainment Syncopy 
14160,en,Up,Animation Comedy Family Adventure ,CarlFredricksen(voice) CharlesMuntz(voice) Russell(voice) ,Pete Docter,PixarAnimationStudios 
15512,en,Monsters vs Aliens,Animation Family Adventure Science Fiction ,B.O.B.(voice) SusanMurphy/Ginormica(voice) Dr.CockroachPh.D.(voice) ,Conrad Vernon,DreamWorksAnimation 
1726,en,Iron Man,Action Science Fiction Adventure ,"TonyStark/IronMan Lt.Col.James""Rhodey""Rhodes/WarMachine ObadiahStane/IronMonger ",Jon Favreau,MarvelStudios 
44826,en,Hugo,Adventure Drama Family ,GeorgesMéliès TheStationInspector HugoCabret ,Martin Scorsese,ParamountPictures InfinitumNihil GKFilms 
8487,en,Wild Wild West,Action Adventure Comedy Science Fiction Western ,Capt.JamesWest U.S.MarshalArtemusGordon Dr.ArlissLoveless ,Barry Sonnenfeld,"Todman,Simon,LeMastersProductions WarnerBros. PetersEntertainment SonnenfeldJosephsonWorldwideEntertainment "
1735,en,The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy ,RichardO'Connell EmperorHan JonathanCarnahan ,Rob Cohen,"UniversalPictures ChinaFilmCo-ProductionCorporation RelativityMedia AlphavilleFilms SommersCompany,The "
297761,en,Suicide Squad,Action Adventure Crime Fantasy Science Fiction ,FloydLawton/Deadshot HarleenQuinzel/HarleyQuinn RickFlag ,David Ayer,DCComics DuneEntertainment AtlasEntertainment WarnerBros. DCEntertainment 
2698,en,Evan Almighty,Fantasy Comedy Family ,EvanBaxter JoanBaxter CongressmanLong ,Tom Shadyac,ColumbiaPictures UniversalPictures SpyglassEntertainment ShadyAcresEntertainment OriginalFilm Playtone RelativityMedia 
137113,en,Edge of Tomorrow,Action Science Fiction ,"Maj.William""Bill""Cage Sgt.RitaVrataski GeneralBrigham ",Doug Liman,VillageRoadshowPictures WarnerBros. VizMedia ProvinceofBritishColumbiaProductionServicesTaxCredit 3ArtsEntertainment RatPac-DuneEntertainment 
9804,en,Waterworld,Adventure Action ,Mariner Drifter Gatesman ,Kevin Reynolds,UniversalPictures GordonCompany DavisEntertainment Licht/MuellerFilmCorporation 
14869,en,G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction ,GeneralHawk Duke Ripcord ,Stephen Sommers,ParamountPictures SpyglassEntertainment DiBonaventuraPictures Hasbro KontseptFilmCompany 
150540,en,Inside Out,Drama Comedy Animation Family ,Joy(voice) Sadness(voice) BingBong(voice) ,Pete Docter,WaltDisneyPictures PixarAnimationStudios 
278927,en,The Jungle Book,Family Adventure Drama Fantasy ,Mowgli Baloo(voice) Bagheera(voice) ,Jon Favreau,WaltDisneyPictures WaltDisneyStudiosMotionPictures FairviewEntertainment MovingPictureCompany(MPC) 
10138,en,Iron Man 2,Adventure Action Science Fiction ,"TonyStark/IronMan Virginia""Pepper""Potts Lt.Col.James""Rhodey""Rhodes/WarMachine ",Jon Favreau,MarvelStudios 
58595,en,Snow White and the Huntsman,Adventure Fantasy Drama ,SnowWhite QueenRavenna TheHuntsman ,Rupert Sanders,UniversalPictures RothFilms 
102651,en,Maleficent,Fantasy Adventure Action Family Romance ,Maleficent PrincessAurora Stefan ,Robert Stromberg,WaltDisneyPictures WaltDisneyStudiosMotionPictures RothFilms 
119450,en,Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller ,Caesar Malcolm Dreyfus ,Matt Reeves,IngeniousMedia CherninEntertainment TSGEntertainment 
79698,en,The Lovers,Action Adventure Science Fiction Romance ,JamesStewart/JayFennel ClaraColdstream LauraFennel ,Roland Joffé,Corsan BlissMedia LimelightInternationalMediaEntertainment NeelmudraEntertainment AristosFilms SingularityProductions Wildkite 
64686,en,47 Ronin,Drama Action Adventure Fantasy ,Kai KuranosukeÔishi Mika ,Carl Rinsch,MidAtlanticFilms StuberProductions Universal MovingPictureCompany(MPC) H2FEntertainment 
100402,en,Captain America: The Winter Soldier,Action Adventure Science Fiction ,SteveRogers/CaptainAmerica NickFury NatashaRomanoff/BlackWidow ,Anthony Russo,MarvelStudios 
10192,en,Shrek Forever After,Comedy Adventure Fantasy Animation Family ,Shrek(voice) Donkey(voice) PrincessFiona(voice) ,Mike Mitchell,DreamWorksAnimation 
158852,en,Tomorrowland,Adventure Family Mystery Science Fiction ,CaseyNewton FrankWalker Athena ,Brad Bird,WaltDisneyPictures Babieka A113 
177572,en,Big Hero 6,Adventure Family Animation Action Comedy ,Baymax(voice) HiroHamada(voice) TadashiHamada(voice) ,Chris Williams,WaltDisneyPictures WaltDisneyAnimationStudios 
82690,en,Wreck-It Ralph,Family Animation Comedy Adventure ,Wreck-ItRalph(voice) VanellopevonSchweetz(voice) Fix-ItFelix(voice) ,Rich Moore,WaltDisneyAnimationStudios 
5255,en,The Polar Express,Adventure Animation Family Fantasy ,HeroBoy/Father/Conductor/Hobo/Scrooge/SantaClaus(voice) Smokey/Steamer(voice) HeroGirl(voice) ,Robert Zemeckis,GoldenMean Playtone ImageMovers 
47933,en,Independence Day: Resurgence,Action Adventure Science Fiction ,JakeMorrison DavidLevinson PresidentWhitmore ,Roland Emmerich,TwentiethCenturyFoxFilmCorporation CentropolisEntertainment TSGEntertainment StereoD 
10191,en,How to Train Your Dragon,Fantasy Adventure Animation Family ,Hiccup Stoick Gobber ,Chris Sanders,DreamWorksAnimation VertigoEntertainment MadHatterEntertainment 
296,en,Terminator 3: Rise of the Machines,Action Thriller Science Fiction ,TheTerminator JohnConnor KateBrewster ,Jonathan Mostow,ColumbiaPictures IntermediaFilms WarnerBros. C-2Pictures IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG Mostow/LiebermanProductions 
118340,en,Guardians of the Galaxy,Action Science Fiction Adventure ,PeterQuill/Star-Lord Gamora DraxtheDestroyer ,James Gunn,MarvelStudios MovingPictureCompany(MPC) BulletproofCupid RevolutionSunStudios 
157336,en,Interstellar,Adventure Drama Science Fiction ,JosephCooper MurphCooper Dr.AmeliaBrand ,Christopher Nolan,ParamountPictures LegendaryPictures WarnerBros. Syncopy LyndaObstProductions 
27205,en,Inception,Action Thriller Science Fiction Mystery Adventure ,DomCobb Arthur Ariadne ,Christopher Nolan,LegendaryPictures WarnerBros. Syncopy 
315011,ja,Shin Godzilla,Action Adventure Drama Horror Science Fiction ,RandoYaguchi:DeputyChiefCabinetSecretary HidekiAkasaka:SpecialAdvisortothePrimeMinister(NationalSecurity) KayokoAnnPatterson:USspecialenvoy ,Hideaki Anno,CineBazar TohoPictures 
49051,en,The Hobbit: An Unexpected Journey,Adventure Fantasy Action ,Gandalf Bilbo Thorin ,Peter Jackson,WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM) 
9799,en,The Fast and the Furious,Action Crime Thriller ,BrianO'Conner DominicToretto LettyOrtiz ,Rob Cohen,UniversalPictures OriginalFilm ArdustryEntertainment MediastreamFilmGmbH&Co.ProductionsKG 
4922,en,The Curious Case of Benjamin Button,Fantasy Drama Thriller Mystery Romance ,Daisy BenjaminButton ElizabethAbbott ,David Fincher,"ParamountPictures WarnerBros. Kennedy/MarshallCompany,The "
49538,en,X-Men: First Class,Action Science Fiction Adventure ,CharlesXavier/ProfessorX ErikLehnsherr/Magneto RavenDarkholme/Mystique ,Matthew Vaughn,IngeniousFilmPartners IngeniousMedia TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment DuneEntertainmentIII MarvelEntertainment BadHatHarryProductions BigScreenProductions 
131634,en,The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction ,KatnissEverdeen PeetaMellark GaleHawthorne ,Francis Lawrence,StudioBabelsberg Lionsgate ColorForce 
27022,en,The Sorcerer's Apprentice,Fantasy Adventure Action Comedy Drama ,BalthazarBlake DaveStutler VeronicaGorloisen ,Jon Turteltaub,WaltDisneyPictures JerryBruckheimerFilms SaturnFilms BrokenRoadProductions JunctionEntertainment 
503,en,Poseidon,Adventure Action Drama Thriller ,RobertRamsey RichardNelson DylanJohns ,Wolfgang Petersen,VirtualStudios NextEntertainment WarnerBros. IrwinAllenProductions RadiantProductions SynthesisEntertainment 
241259,en,Alice Through the Looking Glass,Fantasy ,MadHatter AliceKingsleigh WhiteQueen ,James Bobin,WaltDisneyPictures TeamTodd TimBurtonProductions RothFilms Legend3D 
810,en,Shrek the Third,Fantasy Adventure Animation Comedy Family ,Shrek(voice) Donkey(voice) PrincessFiona(voice) ,Chris Miller,DreamWorksSKG DreamWorksAnimation 
68735,en,Warcraft,Action Adventure Fantasy ,GaronaHalforcen AnduinLothar Medivh ,Duncan Jones,UniversalPictures AtlasEntertainment LegendaryPictures BlizzardEntertainment 
87101,en,Terminator Genisys,Science Fiction Action Thriller Adventure ,TheTerminator JohnConnor SarahConnor ,Alan Taylor,ParamountPictures AnnapurnaPictures SkydanceMedia 
10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy ,EdmundPrevensie LucyPevensie Reepicheep(Voice) ,Michael Apted,DuneEntertainment Fox2000Pictures WaldenMedia 
676,en,Pearl Harbor,History Romance War ,Capt.RafeMcCawley Capt.DannyWalker NurseLt.EvelynJohnson ,Michael Bay,JerryBruckheimerFilms TouchstonePictures 
1858,en,Transformers,Adventure Science Fiction Action ,SamWitwicky CaptainLennox MikaelaBanes ,Michael Bay,ParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes thinkfilm SprocketHeads HasbroStudios RevolutionSunStudios 
1966,en,Alexander,War History Action Adventure Drama Romance ,Alexander Olympias Philip ,Oliver Stone,France3Cinéma IntermediaFilms PathéRennProductions EgmondFilm&Television WarnerBros. PacificaFilm IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG WRUniversalGroup 
675,en,Harry Potter and the Order of the Phoenix,Adventure Fantasy Family Mystery ,HarryPotter RonWeasley HermioneGranger ,David Yates,WarnerBros. HeydayFilms 
674,en,Harry Potter and the Goblet of Fire,Adventure Fantasy Family ,HarryPotter RonWeasley HermioneGranger ,Mike Newell,PatalexIVProductionsLimited WarnerBros. HeydayFilms 
8960,en,Hancock,Fantasy Action ,JohnHancock MaryEmbrey RayEmbrey ,Peter Berg,ColumbiaPictures WeedRoadPictures ForwardPass RelativityMedia OverbrookEntertainment BlueLight GHThree 
6479,en,I Am Legend,Drama Horror Action Thriller Science Fiction ,RobertNeville AnnaMontez Ethan ,Francis Lawrence,VillageRoadshowPictures OriginalFilm WeedRoadPictures WarnerBros. HeydayFilms OverbrookEntertainment 
118,en,Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy ,WillyWonka CharlieBucket GrandpaJoe ,Tim Burton,VillageRoadshowPictures TheZanuckCompany WarnerBros. TimBurtonProductions PlanBEntertainment TheobaldFilmProductions 
2062,en,Ratatouille,Animation Comedy Family Fantasy ,Remy(voice) Skinner(voice) Linguini(voice) ,Jan Pinkava,WaltDisneyPictures PixarAnimationStudios 
272,en,Batman Begins,Action Crime Drama ,BruceWayne/Batman AlfredPennyworth HenriDucard ,Christopher Nolan,DCComics LegendaryPictures WarnerBros. DCEntertainment Syncopy PatalexIIIProductionsLimited 
10527,en,Madagascar: Escape 2 Africa,Family Animation ,Alex(voice) Gloria(voice) Melman(voice) ,Eric Darnell,DreamWorksAnimation 
18360,en,Night at the Museum: Battle of the Smithsonian,Adventure Fantasy Action Comedy Family ,LarryDaley AmeliaEarhart JedediahSmith ,Shawn Levy,TwentiethCenturyFoxFilmCorporation 1492Pictures DuneEntertainment 21LapsEntertainment MuseumCanadaProductions MovingPictureCompany(MPC) 
2080,en,X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction ,Logan/Wolverine/WeaponX VictorCreed/Sabretooth Stryker ,Gavin Hood,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment SeedProductions BadHatHarryProductions BigScreenProductions MarvelEnterprises 
605,en,The Matrix Revolutions,Adventure Action Thriller Science Fiction ,"Thomas""Neo""Anderson Morpheus Trinity ",Lilly Wachowski,VillageRoadshowPictures NPVEntertainment SilverPictures WarnerBros. 
109445,en,Frozen,Animation Adventure Family ,Anna(voice) Elsa(voice) Kristoff(voice) ,Chris Buck,WaltDisneyPictures WaltDisneyAnimationStudios 
604,en,The Matrix Reloaded,Adventure Action Thriller Science Fiction ,"Thomas""Neo""Anderson Trinity Morpheus ",Lilly Wachowski,VillageRoadshowPictures NPVEntertainment HeinekenBrandedEntertainment SilverPictures WarnerBros. 
76338,en,Thor: The Dark World,Action Adventure Fantasy ,Thor JaneFoster Loki ,Alan Taylor,MarvelStudios 
76341,en,Mad Max: Fury Road,Action Adventure Science Fiction Thriller ,MaxRockatansky ImperatorFuriosa Nux ,George Miller,VillageRoadshowPictures KennedyMillerProductions WarnerBros. 
13448,en,Angels & Demons,Thriller Mystery ,RobertLangdon CamerlengoPatrickMcKenna VittoriaVetra ,Ron Howard,ColumbiaPictures ImagineEntertainment PanoramaFilms SkylarkProductions 
10195,en,Thor,Adventure Fantasy Action ,ThorOdinson JaneFoster Loki ,Kenneth Branagh,MarvelStudios 
13053,en,Bolt,Animation Family Adventure Comedy ,Bolt(voice) Penny(voice) Mittens(voice) ,Chris Williams,WaltDisneyAnimationStudios 
19585,en,G-Force,Fantasy Action Adventure Family Comedy ,DarwintheGuineaPig(voice) JuareztheGuineaPig(voice) BlastertheGuineaPig(voice) ,Hoyt Yeatman,WaltDisneyPictures JerryBruckheimerFilms WhamaphramProductions 
57165,en,Wrath of the Titans,Adventure ,Perseus Zeus Hades ,Jonathan Liebesman,"LegendaryPictures ThunderRoadPictures WarnerBros. CottProductions FuriadeTitanesII,A.I.E. "
62213,en,Dark Shadows,Comedy Fantasy ,BarnabasCollins ElizabethCollinsStoddard Dr.JuliaHoffman ,Tim Burton,"VillageRoadshowPictures InfinitumNihil GKFilms WarnerBros. TimBurtonProductions DanCurtisProductions ZanuckCompany,The "
177677,en,Mission: Impossible - Rogue Nation,Action Adventure Thriller ,EthanHunt IlsaFaust BenjiDunn ,Christopher McQuarrie,ParamountPictures SkydanceProductions ChinaMovieChannel BadRobot TCProductions AlibabaPicturesGroup Odin 
7978,en,The Wolfman,Drama Horror Thriller ,LawrenceTalbot SirJohnTalbot GwenConliffe ,Joe Johnston,UniversalPictures StuberProductions RelativityMedia 
