id,original_language,title,genre_list,cast_list,crew_list,comp_list,comb
271110,en,Captain America: Civil War,Adventure Action Science Fiction ,SteveRogers/CaptainAmerica TonyStark/IronMan NatashaRomanoff/BlackWidow ,Anthony Russo,StudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures Vita-RayDutchProductions(III) DeluxeDigitalStudios ,Adventure Action Science Fiction SteveRogers/CaptainAmerica TonyStark/IronMan NatashaRomanoff/BlackWidow Anthony RussoStudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures Vita-RayDutchProductions(III) DeluxeDigitalStudios en
44833,en,Battleship,Thriller Action Adventure Science Fiction ,LieutenantAlexHopper CommanderStoneHopper PettyOfficerCora'Weps'Raikes ,Peter Berg,UniversalPictures Hasbro BluegrassFilms Film44 ,Thriller Action Adventure Science Fiction LieutenantAlexHopper CommanderStoneHopper PettyOfficerCora'Weps'Raikes Peter BergUniversalPictures Hasbro BluegrassFilms Film44 en
135397,en,Jurassic World,Action Adventure Science Fiction Thriller ,OwenGrady ClaireDearing SimonMasrani ,Colin Trevorrow,UniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork Dentsu ,Action Adventure Science Fiction Thriller OwenGrady ClaireDearing SimonMasrani Colin TrevorrowUniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork Dentsu en
37724,en,Skyfall,Action Adventure Thriller ,JamesBond M Silva ,Sam Mendes,ColumbiaPictures ,Action Adventure Thriller JamesBond M Silva Sam MendesColumbiaPictures en
558,en,Spider-Man 2,Action Adventure Fantasy ,PeterParker/Spider-Man MaryJaneWatson HarryOsborn ,Sam Raimi,ColumbiaPictures LauraZiskinProductions MarvelEnterprises ,Action Adventure Fantasy PeterParker/Spider-Man MaryJaneWatson HarryOsborn Sam RaimiColumbiaPictures LauraZiskinProductions MarvelEnterprises en
68721,en,Iron Man 3,Action Adventure Science Fiction ,"TonyStark/IronMan Virginia""Pepper""Potts ColonelJames""Rhodey""Rhodes ",Shane Black,MarvelStudios ,"Action Adventure Science Fiction TonyStark/IronMan Virginia""Pepper""Potts ColonelJames""Rhodey""Rhodes Shane BlackMarvelStudios en"
12155,en,Alice in Wonderland,Family Fantasy Adventure ,AliceKingsleigh TheMadHatter TheWhiteQueen ,Tim Burton,"WaltDisneyPictures TeamTodd TimBurtonProductions RothFilms ZanuckCompany,The ","Family Fantasy Adventure AliceKingsleigh TheMadHatter TheWhiteQueen Tim BurtonWaltDisneyPictures TeamTodd TimBurtonProductions RothFilms ZanuckCompany,The en"
36668,en,X-Men: The Last Stand,Adventure Action Science Fiction Thriller ,Logan/Wolverine OroroMunroe/Storm EricLehnsherr/Magneto ,Brett Ratner,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment MajorStudioPartners BadHatHarryProductions thinkfilm MarvelEnterprises X3CanadaProductions X3USProductions XM3Service ,Adventure Action Science Fiction Thriller Logan/Wolverine OroroMunroe/Storm EricLehnsherr/Magneto Brett RatnerIngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment MajorStudioPartners BadHatHarryProductions thinkfilm MarvelEnterprises X3CanadaProductions X3USProductions XM3Service en
62211,en,Monsters University,Animation Family ,"Michael""Mike""Wazowski(voice) JamesP.""Sulley""Sullivan(voice) RandallBoggs(voice) ",Dan Scanlon,WaltDisneyPictures PixarAnimationStudios ,"Animation Family Michael""Mike""Wazowski(voice) JamesP.""Sulley""Sullivan(voice) RandallBoggs(voice) Dan ScanlonWaltDisneyPictures PixarAnimationStudios en"
8373,en,Transformers: Revenge of the Fallen,Science Fiction Action Adventure ,SamWitwicky MikaelaBanes CaptainLennox ,Michael Bay,ParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes HasbroStudios RevolutionSunStudios ,Science Fiction Action Adventure SamWitwicky MikaelaBanes CaptainLennox Michael BayParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes HasbroStudios RevolutionSunStudios en
91314,en,Transformers: Age of Extinction,Science Fiction Action Adventure ,CadeYeager Joshua HaroldAttinger ,Michael Bay,ParamountPictures AmblinEntertainment DiBonaventuraPictures PlatinumDunes ChinaMovieChannel HasbroStudios IanBryceProductions RevolutionSunStudios ,Science Fiction Action Adventure CadeYeager Joshua HaroldAttinger Michael BayParamountPictures AmblinEntertainment DiBonaventuraPictures PlatinumDunes ChinaMovieChannel HasbroStudios IanBryceProductions RevolutionSunStudios en
68728,en,Oz: The Great and Powerful,Fantasy Adventure Family ,Oz Theodora Evanora ,Sam Raimi,WaltDisneyPictures RothFilms ,Fantasy Adventure Family Oz Theodora Evanora Sam RaimiWaltDisneyPictures RothFilms en
102382,en,The Amazing Spider-Man 2,Action Adventure Fantasy ,PeterParker/Spider-Man GwenStacy MaxDillon/Electro ,Marc Webb,ColumbiaPictures MarvelEnterprises AviAradProductions MattTolmachProductions ,Action Adventure Fantasy PeterParker/Spider-Man GwenStacy MaxDillon/Electro Marc WebbColumbiaPictures MarvelEnterprises AviAradProductions MattTolmachProductions en
20526,en,TRON: Legacy,Adventure Action Science Fiction ,SamFlynn KevinFlynn/Clu Quorra ,Joseph Kosinski,WaltDisneyPictures LivePlanet PranaStudios SeanBaileyProductions RevolutionSunStudios KontseptFilmCompany ,Adventure Action Science Fiction SamFlynn KevinFlynn/Clu Quorra Joseph KosinskiWaltDisneyPictures LivePlanet PranaStudios SeanBaileyProductions RevolutionSunStudios KontseptFilmCompany en
49013,en,Cars 2,Animation Family Adventure Comedy ,LightningMcQueen(voice) Mater(voice) FinnMcMissile(voice) ,John Lasseter,WaltDisneyPictures PixarAnimationStudios ,Animation Family Adventure Comedy LightningMcQueen(voice) Mater(voice) FinnMcMissile(voice) John LasseterWaltDisneyPictures PixarAnimationStudios en
44912,en,Green Lantern,Adventure Action Thriller Science Fiction ,HalJordan/GreenLantern CarolFerris HectorHammond ,Martin Campbell,DeLinePictures WarnerBros. DCEntertainment ,Adventure Action Thriller Science Fiction HalJordan/GreenLantern CarolFerris HectorHammond Martin CampbellDeLinePictures WarnerBros. DCEntertainment en
10193,en,Toy Story 3,Animation Family Comedy ,Woody(voice) BuzzLightyear(voice) Lotso(voice) ,Lee Unkrich,WaltDisneyPictures PixarAnimationStudios ,Animation Family Comedy Woody(voice) BuzzLightyear(voice) Lotso(voice) Lee UnkrichWaltDisneyPictures PixarAnimationStudios en
534,en,Terminator Salvation,Action Science Fiction Thriller ,JohnConnor MarcusWright KyleReese ,McG,ColumbiaPictures TheHalcyonCompany WonderlandSoundandVision WarnerBros. ,Action Science Fiction Thriller JohnConnor MarcusWright KyleReese McGColumbiaPictures TheHalcyonCompany WonderlandSoundandVision WarnerBros. en
168259,en,Furious 7,Action ,DominicToretto BrianO'Conner Hobbs ,James Wan,"UniversalPictures OriginalFilm FujiTelevisionNetwork Dentsu OneRaceFilms ChinaFilmCo. QuébecProductionServicesTaxCredit MediaRightsCapital(MRC) AbuDhabiFilmCommission ColoradoOfficeofFilm,Television&Media ","Action DominicToretto BrianO'Conner Hobbs James WanUniversalPictures OriginalFilm FujiTelevisionNetwork Dentsu OneRaceFilms ChinaFilmCo. QuébecProductionServicesTaxCredit MediaRightsCapital(MRC) AbuDhabiFilmCommission ColoradoOfficeofFilm,Television&Media en"
72190,en,World War Z,Action Drama Horror Science Fiction Thriller ,GerryLane KarenLane RachelLane ,Marc Forster,ParamountPictures GKFilms SkydanceProductions HemisphereMediaCapital ApparatusProductions LatinaPictures 2DUX² ,Action Drama Horror Science Fiction Thriller GerryLane KarenLane RachelLane Marc ForsterParamountPictures GKFilms SkydanceProductions HemisphereMediaCapital ApparatusProductions LatinaPictures 2DUX² en
127585,en,X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction ,Logan/Wolverine CharlesXavier/ProfessorX(Young) ErikLehnsherr/Magneto(Young) ,Bryan Singer,TwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment DownProductions RevolutionSunStudios ,Action Adventure Fantasy Science Fiction Logan/Wolverine CharlesXavier/ProfessorX(Young) ErikLehnsherr/Magneto(Young) Bryan SingerTwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment DownProductions RevolutionSunStudios en
54138,en,Star Trek Into Darkness,Action Adventure Science Fiction ,JamesT.Kirk Spock NyotaUhura ,J.J. Abrams,ParamountPictures SkydanceProductions BadRobot Kurtzman/Orci ,Action Adventure Science Fiction JamesT.Kirk Spock NyotaUhura J.J. AbramsParamountPictures SkydanceProductions BadRobot Kurtzman/Orci en
81005,en,Jack the Giant Slayer,Action Family Fantasy ,Jack PrincessIsabelle Elmont ,Bryan Singer,NewLineCinema OriginalFilm LegendaryPictures WarnerBros. BigKidPictures BadHatHarryProductions ,Action Family Fantasy Jack PrincessIsabelle Elmont Bryan SingerNewLineCinema OriginalFilm LegendaryPictures WarnerBros. BigKidPictures BadHatHarryProductions en
64682,en,The Great Gatsby,Drama Romance ,JayGatsby NickCarraway DaisyBuchanan ,Baz Luhrmann,VillageRoadshowPictures BazmarkFilms WarnerBros. A&ETelevisionNetworks RedWagonEntertainment SpectrumFilms ,Drama Romance JayGatsby NickCarraway DaisyBuchanan Baz LuhrmannVillageRoadshowPictures BazmarkFilms WarnerBros. A&ETelevisionNetworks RedWagonEntertainment SpectrumFilms en
9543,en,Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance ,PrinceDastan Tamina Nizam ,Mike Newell,WaltDisneyPictures JerryBruckheimerFilms ,Adventure Fantasy Action Romance PrinceDastan Tamina Nizam Mike NewellWaltDisneyPictures JerryBruckheimerFilms en
68726,en,Pacific Rim,Action Science Fiction Adventure ,StackerPentecost RaleighBecket Dr.NewtonGeiszler ,Guillermo del Toro,LegendaryPictures WarnerBros. DisneyDoubleDareYou(DDY) IndochinaProductions ,Action Science Fiction Adventure StackerPentecost RaleighBecket Dr.NewtonGeiszler Guillermo del ToroLegendaryPictures WarnerBros. DisneyDoubleDareYou(DDY) IndochinaProductions en
38356,en,Transformers: Dark of the Moon,Action Science Fiction Adventure ,SamWitwicky BruceBrazos JerryWang ,Michael Bay,ParamountPictures DiBonaventuraPictures IndochinaProductions HasbroStudios ,Action Science Fiction Adventure SamWitwicky BruceBrazos JerryWang Michael BayParamountPictures DiBonaventuraPictures IndochinaProductions HasbroStudios en
217,en,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action ,IndianaJones IrinaSpalko MuttWilliams ,Steven Spielberg,Lucasfilm ParamountPictures ,Adventure Action IndianaJones IrinaSpalko MuttWilliams Steven SpielbergLucasfilm ParamountPictures en
105864,en,The Good Dinosaur,Adventure Animation Family ,Arlo(voice) Spot(voice) Poppa(voice) ,Peter Sohn,WaltDisneyPictures PixarAnimationStudios ,Adventure Animation Family Arlo(voice) Spot(voice) Poppa(voice) Peter SohnWaltDisneyPictures PixarAnimationStudios en
62177,en,Brave,Animation Adventure Comedy Family Action Fantasy ,Mérida(voice) TheWitch(voice) KingFergus(voice) ,Brenda Chapman,WaltDisneyPictures PixarAnimationStudios ,Animation Adventure Comedy Family Action Fantasy Mérida(voice) TheWitch(voice) KingFergus(voice) Brenda ChapmanWaltDisneyPictures PixarAnimationStudios en
188927,en,Star Trek Beyond,Action Adventure Science Fiction ,JamesT.Kirk Spock Dr.Leonard'Bones'McCoy ,Justin Lin,ParamountPictures BadRobot PerfectStormEntertainment AlibabaPicturesGroup SkydanceMedia SneakyShark HuahuaMedia ,Action Adventure Science Fiction JamesT.Kirk Spock Dr.Leonard'Bones'McCoy Justin LinParamountPictures BadRobot PerfectStormEntertainment AlibabaPicturesGroup SkydanceMedia SneakyShark HuahuaMedia en
10681,en,WALL·E,Animation Family ,WALL·E/M-O(voice) EVE(voice) Captain(voice) ,Andrew Stanton,WaltDisneyPictures PixarAnimationStudios FortyFourStudios ,Animation Family WALL·E/M-O(voice) EVE(voice) Captain(voice) Andrew StantonWaltDisneyPictures PixarAnimationStudios FortyFourStudios en
5174,en,Rush Hour 3,Action Comedy Crime Thriller ,Det.JamesCarter ChiefInsp.Lee Kenji ,Brett Ratner,NewLineCinema ,Action Comedy Crime Thriller Det.JamesCarter ChiefInsp.Lee Kenji Brett RatnerNewLineCinema en
14161,en,2012,Action Adventure Science Fiction ,JacksonCurtis KateCurtis AdrianHelmsley ,Roland Emmerich,ColumbiaPictures CentropolisEntertainment TheMarkGordonCompany FarewellProductions ,Action Adventure Science Fiction JacksonCurtis KateCurtis AdrianHelmsley Roland EmmerichColumbiaPictures CentropolisEntertainment TheMarkGordonCompany FarewellProductions en
17979,en,A Christmas Carol,Animation Drama ,"TinyTim,BobCratchit,Marley EbenezerScrooge,GhostofChristmasPast,GhostofChristmasPresent,GhostofChristmasYetToCome FuneraryUndertaker/Topper ",Robert Zemeckis,WaltDisney ImageMovers ,"Animation Drama TinyTim,BobCratchit,Marley EbenezerScrooge,GhostofChristmasPast,GhostofChristmasPresent,GhostofChristmasYetToCome FuneraryUndertaker/Topper Robert ZemeckisWaltDisney ImageMovers en"
76757,en,Jupiter Ascending,Science Fiction Fantasy Action Adventure ,JupiterJones CaineWise StingerApini ,Lilly Wachowski,VillageRoadshowPictures DuneEntertainment AnarchosProductions WarnerBros. ,Science Fiction Fantasy Action Adventure JupiterJones CaineWise StingerApini Lilly WachowskiVillageRoadshowPictures DuneEntertainment AnarchosProductions WarnerBros. en
258489,en,The Legend of Tarzan,Action Adventure ,JohnClayton/Tarzan JanePorter CaptainLeonRom ,David Yates,VillageRoadshowPictures DarkHorseEntertainment JerryWeintraubProductions RatPac-DuneEntertainment BeaglePugFilms RicheProductions VillageRoadshowFilmsNorthAmerica ,Action Adventure JohnClayton/Tarzan JanePorter CaptainLeonRom David YatesVillageRoadshowPictures DarkHorseEntertainment JerryWeintraubProductions RatPac-DuneEntertainment BeaglePugFilms RicheProductions VillageRoadshowFilmsNorthAmerica en
411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy ,PeterPevensie SusanPevensie EdmundPevensie ,Andrew Adamson,WaltDisney WaldenMedia ,Adventure Family Fantasy PeterPevensie SusanPevensie EdmundPevensie Andrew AdamsonWaltDisney WaldenMedia en
246655,en,X-Men: Apocalypse,Science Fiction ,ProfessorCharlesXavier ErikLehnsherr/Magneto RavenDarkholme/Mystique ,Bryan Singer,TwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment KinbergGenre ,Science Fiction ProfessorCharlesXavier ErikLehnsherr/Magneto RavenDarkholme/Mystique Bryan SingerTwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment KinbergGenre en
155,en,The Dark Knight,Drama Action Crime Thriller ,BruceWayne Joker HarveyDent ,Christopher Nolan,DCComics LegendaryPictures WarnerBros. DCEntertainment Syncopy ,Drama Action Crime Thriller BruceWayne Joker HarveyDent Christopher NolanDCComics LegendaryPictures WarnerBros. DCEntertainment Syncopy en
14160,en,Up,Animation Comedy Family Adventure ,CarlFredricksen(voice) CharlesMuntz(voice) Russell(voice) ,Pete Docter,PixarAnimationStudios ,Animation Comedy Family Adventure CarlFredricksen(voice) CharlesMuntz(voice) Russell(voice) Pete DocterPixarAnimationStudios en
15512,en,Monsters vs Aliens,Animation Family Adventure Science Fiction ,B.O.B.(voice) SusanMurphy/Ginormica(voice) Dr.CockroachPh.D.(voice) ,Conrad Vernon,DreamWorksAnimation ,Animation Family Adventure Science Fiction B.O.B.(voice) SusanMurphy/Ginormica(voice) Dr.CockroachPh.D.(voice) Conrad VernonDreamWorksAnimation en
1726,en,Iron Man,Action Science Fiction Adventure ,"TonyStark/IronMan Lt.Col.James""Rhodey""Rhodes/WarMachine ObadiahStane/IronMonger ",Jon Favreau,MarvelStudios ,"Action Science Fiction Adventure TonyStark/IronMan Lt.Col.James""Rhodey""Rhodes/WarMachine ObadiahStane/IronMonger Jon FavreauMarvelStudios en"
44826,en,Hugo,Adventure Drama Family ,GeorgesMéliès TheStationInspector HugoCabret ,Martin Scorsese,ParamountPictures InfinitumNihil GKFilms ,Adventure Drama Family GeorgesMéliès TheStationInspector HugoCabret Martin ScorseseParamountPictures InfinitumNihil GKFilms en
8487,en,Wild Wild West,Action Adventure Comedy Science Fiction Western ,Capt.JamesWest U.S.MarshalArtemusGordon Dr.ArlissLoveless ,Barry Sonnenfeld,"Todman,Simon,LeMastersProductions WarnerBros. PetersEntertainment SonnenfeldJosephsonWorldwideEntertainment ","Action Adventure Comedy Science Fiction Western Capt.JamesWest U.S.MarshalArtemusGordon Dr.ArlissLoveless Barry SonnenfeldTodman,Simon,LeMastersProductions WarnerBros. PetersEntertainment SonnenfeldJosephsonWorldwideEntertainment en"
1735,en,The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy ,RichardO'Connell EmperorHan JonathanCarnahan ,Rob Cohen,"UniversalPictures ChinaFilmCo-ProductionCorporation RelativityMedia AlphavilleFilms SommersCompany,The ","Adventure Action Fantasy RichardO'Connell EmperorHan JonathanCarnahan Rob CohenUniversalPictures ChinaFilmCo-ProductionCorporation RelativityMedia AlphavilleFilms SommersCompany,The en"
297761,en,Suicide Squad,Action Adventure Crime Fantasy Science Fiction ,FloydLawton/Deadshot HarleenQuinzel/HarleyQuinn RickFlag ,David Ayer,DCComics DuneEntertainment AtlasEntertainment WarnerBros. DCEntertainment ,Action Adventure Crime Fantasy Science Fiction FloydLawton/Deadshot HarleenQuinzel/HarleyQuinn RickFlag David AyerDCComics DuneEntertainment AtlasEntertainment WarnerBros. DCEntertainment en
2698,en,Evan Almighty,Fantasy Comedy Family ,EvanBaxter JoanBaxter CongressmanLong ,Tom Shadyac,ColumbiaPictures UniversalPictures SpyglassEntertainment ShadyAcresEntertainment OriginalFilm Playtone RelativityMedia ,Fantasy Comedy Family EvanBaxter JoanBaxter CongressmanLong Tom ShadyacColumbiaPictures UniversalPictures SpyglassEntertainment ShadyAcresEntertainment OriginalFilm Playtone RelativityMedia en
137113,en,Edge of Tomorrow,Action Science Fiction ,"Maj.William""Bill""Cage Sgt.RitaVrataski GeneralBrigham ",Doug Liman,VillageRoadshowPictures WarnerBros. VizMedia ProvinceofBritishColumbiaProductionServicesTaxCredit 3ArtsEntertainment RatPac-DuneEntertainment ,"Action Science Fiction Maj.William""Bill""Cage Sgt.RitaVrataski GeneralBrigham Doug LimanVillageRoadshowPictures WarnerBros. VizMedia ProvinceofBritishColumbiaProductionServicesTaxCredit 3ArtsEntertainment RatPac-DuneEntertainment en"
